,,,,,
"CPI - Rural, Urban, Combined (All India)",,,,,
,,,,,
Base : 2012 = 100,,,,,
,,,,,
,Month,Commodity Description,Provisional / Final,Combined,
,,,,Current Month,Inflation Y-o-Y
5/31/2018,MAY-2018,A) General Index,Final,137.8,4.87
5/31/2018,MAY-2018,A.1) Food and beverages,Final,138.1,3.29
5/31/2018,MAY-2018,A.1.1) Cereals and products,Final,136.6,2.78
5/31/2018,MAY-2018,A.1.7) Vegetables,Final,135.6,7.96
5/31/2018,MAY-2018,A.1.8) Pulses and products,Final,122.3,-11.57
4/30/2018,APR-2018,A) General Index,Final,137.1,4.58
4/30/2018,APR-2018,A.1) Food and beverages,Final,137.5,3.00
4/30/2018,APR-2018,A.1.1) Cereals and products,Final,136.4,2.56
4/30/2018,APR-2018,A.1.7) Vegetables,Final,132.6,7.46
4/30/2018,APR-2018,A.1.8) Pulses and products,Final,123.5,-12.35
3/31/2018,MAR-2018,A) General Index,Final,136.5,4.28
3/31/2018,MAR-2018,A.1) Food and beverages,Final,137.2,3.08
3/31/2018,MAR-2018,A.1.1) Cereals and products,Final,136.2,2.18
3/31/2018,MAR-2018,A.1.7) Vegetables,Final,134.6,11.70
3/31/2018,MAR-2018,A.1.8) Pulses and products,Final,124.6,-13.41
2/28/2018,FEB-2018,A) General Index,Final,136.4,4.44
2/28/2018,FEB-2018,A.1) Food and beverages,Final,137.6,3.46
2/28/2018,FEB-2018,A.1.1) Cereals and products,Final,135.9,2.10
2/28/2018,FEB-2018,A.1.7) Vegetables,Final,140.5,17.57
2/28/2018,FEB-2018,A.1.8) Pulses and products,Final,125.8,-17.35
1/31/2018,JAN-2018,A) General Index,Final,136.9,5.07
1/31/2018,JAN-2018,A.1) Food and beverages,Final,139.2,4.58
1/31/2018,JAN-2018,A.1.1) Cereals and products,Final,136.0,2.41
1/31/2018,JAN-2018,A.1.7) Vegetables,Final,151.6,26.97
1/31/2018,JAN-2018,A.1.8) Pulses and products,Final,127.3,-20.19
12/31/2017,DEC-2017,A) General Index,Final,137.2,5.21
12/31/2017,DEC-2017,A.1) Food and beverages,Final,140.5,4.85
12/31/2017,DEC-2017,A.1.1) Cereals and products,Final,135.8,2.65
12/31/2017,DEC-2017,A.1.7) Vegetables,Final,161.7,29.05
12/31/2017,DEC-2017,A.1.8) Pulses and products,Final,129.1,-23.47
11/30/2017,NOV-2017,A) General Index,Final,137.6,4.88
11/30/2017,NOV-2017,A.1) Food and beverages,Final,142.1,4.41
11/30/2017,NOV-2017,A.1.1) Cereals and products,Final,135.7,3.27
11/30/2017,NOV-2017,A.1.7) Vegetables,Final,173.8,22.48
11/30/2017,NOV-2017,A.1.8) Pulses and products,Final,131.2,-23.59
10/31/2017,OCT-2017,A) General Index,Final,136.1,3.58
10/31/2017,OCT-2017,A.1) Food and beverages,Final,140.1,2.26
10/31/2017,OCT-2017,A.1.1) Cereals and products,Final,135.3,3.68
10/31/2017,OCT-2017,A.1.7) Vegetables,Final,162.6,7.54
10/31/2017,OCT-2017,A.1.8) Pulses and products,Final,132.3,-23.13
9/30/2017,SEP-2017,A) General Index,Final,135.2,3.28
9/30/2017,SEP-2017,A.1) Food and beverages,Final,139.0,1.76
9/30/2017,SEP-2017,A.1.1) Cereals and products,Final,134.7,3.70
9/30/2017,SEP-2017,A.1.7) Vegetables,Final,156.6,3.92
9/30/2017,SEP-2017,A.1.8) Pulses and products,Final,132.9,-22.51
8/31/2017,AUG-2017,A) General Index,Final,135.4,3.28
8/31/2017,AUG-2017,A.1) Food and beverages,Final,140.6,1.96
8/31/2017,AUG-2017,A.1.1) Cereals and products,Final,134.3,3.87
8/31/2017,AUG-2017,A.1.7) Vegetables,Final,168.6,5.97
8/31/2017,AUG-2017,A.1.8) Pulses and products,Final,132.7,-24.43
7/31/2017,JUL-2017,A) General Index,Final,134.2,2.36
7/31/2017,JUL-2017,A.1) Food and beverages,Final,139.0,0.43
7/31/2017,JUL-2017,A.1.1) Cereals and products,Final,133.6,3.97
7/31/2017,JUL-2017,A.1.7) Vegetables,Final,159.5,-3.57
7/31/2017,JUL-2017,A.1.8) Pulses and products,Final,133.6,-24.69
6/30/2017,JUN-2017,A) General Index,Final,132.0,1.46
6/30/2017,JUN-2017,A.1) Food and beverages,Final,135.2,-1.17
6/30/2017,JUN-2017,A.1.1) Cereals and products,Final,133.3,4.39
6/30/2017,JUN-2017,A.1.7) Vegetables,Final,133.3,-16.53
6/30/2017,JUN-2017,A.1.8) Pulses and products,Final,136.2,-21.86
5/31/2017,MAY-2017,A) General Index,Final,131.4,2.18
5/31/2017,MAY-2017,A.1) Food and beverages,Final,133.7,-0.22
5/31/2017,MAY-2017,A.1.1) Cereals and products,Final,132.9,4.81
5/31/2017,MAY-2017,A.1.7) Vegetables,Final,125.6,-13.44
5/31/2017,MAY-2017,A.1.8) Pulses and products,Final,138.3,-19.45
4/30/2017,APR-2017,A) General Index,Final,131.1,2.99
4/30/2017,APR-2017,A.1) Food and beverages,Final,133.5,1.29
4/30/2017,APR-2017,A.1.1) Cereals and products,Final,133.0,5.06
4/30/2017,APR-2017,A.1.7) Vegetables,Final,123.4,-8.59
4/30/2017,APR-2017,A.1.8) Pulses and products,Final,140.9,-15.88
3/31/2017,MAR-2017,A) General Index,Final,130.9,3.89
3/31/2017,MAR-2017,A.1) Food and beverages,Final,133.1,2.54
3/31/2017,MAR-2017,A.1.1) Cereals and products,Final,133.3,5.38
3/31/2017,MAR-2017,A.1.7) Vegetables,Final,120.5,-7.16
3/31/2017,MAR-2017,A.1.8) Pulses and products,Final,143.9,-12.42
2/28/2017,FEB-2017,A) General Index,Final,130.6,3.65
2/28/2017,FEB-2017,A.1) Food and beverages,Final,133.0,2.39
2/28/2017,FEB-2017,A.1.1) Cereals and products,Final,133.1,5.30
2/28/2017,FEB-2017,A.1.7) Vegetables,Final,119.5,-8.29
2/28/2017,FEB-2017,A.1.8) Pulses and products,Final,152.2,-9.08
1/31/2017,JAN-2017,A) General Index,Final,130.3,3.17
1/31/2017,JAN-2017,A.1) Food and beverages,Final,133.1,1.37
1/31/2017,JAN-2017,A.1.1) Cereals and products,Final,132.8,5.31
1/31/2017,JAN-2017,A.1.7) Vegetables,Final,119.4,-15.62
1/31/2017,JAN-2017,A.1.8) Pulses and products,Final,159.5,-6.56
12/31/2016,DEC-2016,A) General Index,Final,130.4,3.41
12/31/2016,DEC-2016,A.1) Food and beverages,Final,134.0,1.98
12/31/2016,DEC-2016,A.1.1) Cereals and products,Final,132.3,5.25
12/31/2016,DEC-2016,A.1.7) Vegetables,Final,125.3,-14.59
12/31/2016,DEC-2016,A.1.8) Pulses and products,Final,168.7,-1.63
11/30/2016,NOV-2016,A) General Index,Final,131.2,3.63
11/30/2016,NOV-2016,A.1) Food and beverages,Final,136.1,2.56
11/30/2016,NOV-2016,A.1.1) Cereals and products,Final,131.4,4.78
11/30/2016,NOV-2016,A.1.7) Vegetables,Final,141.9,-10.42
11/30/2016,NOV-2016,A.1.8) Pulses and products,Final,171.7,0.29
10/31/2016,OCT-2016,A) General Index,Final,131.4,4.20
10/31/2016,OCT-2016,A.1) Food and beverages,Final,137.0,3.71
10/31/2016,OCT-2016,A.1.1) Cereals and products,Final,130.5,4.40
10/31/2016,OCT-2016,A.1.7) Vegetables,Final,151.2,-5.74
10/31/2016,OCT-2016,A.1.8) Pulses and products,Final,172.1,4.11
9/30/2016,SEP-2016,A) General Index,Final,130.9,4.39
9/30/2016,SEP-2016,A.1) Food and beverages,Final,136.6,4.12
9/30/2016,SEP-2016,A.1.1) Cereals and products,Final,129.9,4.25
9/30/2016,SEP-2016,A.1.7) Vegetables,Final,150.7,-7.09
9/30/2016,SEP-2016,A.1.8) Pulses and products,Final,171.5,14.33
8/31/2016,AUG-2016,A) General Index,Final,131.1,5.05
8/31/2016,AUG-2016,A.1) Food and beverages,Final,137.9,5.83
8/31/2016,AUG-2016,A.1.1) Cereals and products,Final,129.3,4.11
8/31/2016,AUG-2016,A.1.7) Vegetables,Final,159.1,0.95
8/31/2016,AUG-2016,A.1.8) Pulses and products,Final,175.6,21.94
7/31/2016,JUL-2016,A) General Index,Final,131.1,6.07
7/31/2016,JUL-2016,A.1) Food and beverages,Final,138.4,7.96
7/31/2016,JUL-2016,A.1.1) Cereals and products,Final,128.5,3.88
7/31/2016,JUL-2016,A.1.7) Vegetables,Final,165.4,13.99
7/31/2016,JUL-2016,A.1.8) Pulses and products,Final,177.4,27.53
6/30/2016,JUN-2016,A) General Index,Final,130.1,5.77
6/30/2016,JUN-2016,A.1) Food and beverages,Final,136.8,7.46
6/30/2016,JUN-2016,A.1.1) Cereals and products,Final,127.7,3.07
6/30/2016,JUN-2016,A.1.7) Vegetables,Final,159.7,14.81
6/30/2016,JUN-2016,A.1.8) Pulses and products,Final,174.3,26.86
5/31/2016,MAY-2016,A) General Index,Final,128.6,5.76
5/31/2016,MAY-2016,A.1) Food and beverages,Final,134.0,7.20
5/31/2016,MAY-2016,A.1.1) Cereals and products,Final,126.8,2.59
5/31/2016,MAY-2016,A.1.7) Vegetables,Final,145.1,10.85
5/31/2016,MAY-2016,A.1.8) Pulses and products,Final,171.7,31.57
4/30/2016,APR-2016,A) General Index,Final,127.3,5.47
4/30/2016,APR-2016,A.1) Food and beverages,Final,131.8,6.29
4/30/2016,APR-2016,A.1.1) Cereals and products,Final,126.6,2.51
4/30/2016,APR-2016,A.1.7) Vegetables,Final,135.0,4.98
4/30/2016,APR-2016,A.1.8) Pulses and products,Final,167.5,34.21
3/31/2016,MAR-2016,A) General Index,Final,126.0,4.83
3/31/2016,MAR-2016,A.1) Food and beverages,Final,129.8,5.19
3/31/2016,MAR-2016,A.1.1) Cereals and products,Final,126.5,2.43
3/31/2016,MAR-2016,A.1.7) Vegetables,Final,129.8,0.46
3/31/2016,MAR-2016,A.1.8) Pulses and products,Final,164.3,34.23
2/29/2016,FEB-2016,A) General Index,Final,126.0,5.26
2/29/2016,FEB-2016,A.1) Food and beverages,Final,129.9,5.52
2/29/2016,FEB-2016,A.1.1) Cereals and products,Final,126.4,2.18
2/29/2016,FEB-2016,A.1.7) Vegetables,Final,130.3,0.70
2/29/2016,FEB-2016,A.1.8) Pulses and products,Final,167.4,38.46
1/31/2016,JAN-2016,A) General Index,Final,126.3,5.69
1/31/2016,JAN-2016,A.1) Food and beverages,Final,131.3,6.66
1/31/2016,JAN-2016,A.1.1) Cereals and products,Final,126.1,2.19
1/31/2016,JAN-2016,A.1.7) Vegetables,Final,141.5,6.39
1/31/2016,JAN-2016,A.1.8) Pulses and products,Final,170.7,43.32
12/31/2015,DEC-2015,A) General Index,Final,126.1,5.61
12/31/2015,DEC-2015,A.1) Food and beverages,Final,131.4,6.31
12/31/2015,DEC-2015,A.1.1) Cereals and products,Final,125.7,2.28
12/31/2015,DEC-2015,A.1.7) Vegetables,Final,146.7,4.41
12/31/2015,DEC-2015,A.1.8) Pulses and products,Final,171.5,45.83
11/30/2015,NOV-2015,A) General Index,Final,126.6,5.41
11/30/2015,NOV-2015,A.1) Food and beverages,Final,132.7,6.08
11/30/2015,NOV-2015,A.1.1) Cereals and products,Final,125.4,1.70
11/30/2015,NOV-2015,A.1.7) Vegetables,Final,158.4,3.94
11/30/2015,NOV-2015,A.1.8) Pulses and products,Final,171.2,46.08
10/31/2015,OCT-2015,A) General Index,Final,126.1,5.00
10/31/2015,OCT-2015,A.1) Food and beverages,Final,132.1,5.34
10/31/2015,OCT-2015,A.1.1) Cereals and products,Final,125.0,1.46
10/31/2015,OCT-2015,A.1.7) Vegetables,Final,160.4,2.30
10/31/2015,OCT-2015,A.1.8) Pulses and products,Final,165.3,42.38
9/30/2015,SEP-2015,A) General Index,Final,125.4,4.41
9/30/2015,SEP-2015,A.1) Food and beverages,Final,131.2,4.29
9/30/2015,SEP-2015,A.1.1) Cereals and products,Final,124.6,1.38
9/30/2015,SEP-2015,A.1.7) Vegetables,Final,162.2,0.06
9/30/2015,SEP-2015,A.1.8) Pulses and products,Final,150.0,29.76
8/31/2015,AUG-2015,A) General Index,Final,124.8,3.74
8/31/2015,AUG-2015,A.1) Food and beverages,Final,130.3,2.92
8/31/2015,AUG-2015,A.1.1) Cereals and products,Final,124.2,1.22
8/31/2015,AUG-2015,A.1.7) Vegetables,Final,157.6,-6.30
8/31/2015,AUG-2015,A.1.8) Pulses and products,Final,144.0,25.76
7/31/2015,JUL-2015,A) General Index,Final,123.6,3.69
7/31/2015,JUL-2015,A.1) Food and beverages,Final,128.2,2.81
7/31/2015,JUL-2015,A.1.1) Cereals and products,Final,123.7,1.06
7/31/2015,JUL-2015,A.1.7) Vegetables,Final,145.1,-7.99
7/31/2015,JUL-2015,A.1.8) Pulses and products,Final,139.1,22.88
6/30/2015,JUN-2015,A) General Index,Final,123.0,5.40
6/30/2015,JUN-2015,A.1) Food and beverages,Final,127.3,5.73
6/30/2015,JUN-2015,A.1.1) Cereals and products,Final,123.9,1.98
6/30/2015,JUN-2015,A.1.7) Vegetables,Final,139.1,5.30
6/30/2015,JUN-2015,A.1.8) Pulses and products,Final,137.4,22.24
5/31/2015,MAY-2015,A) General Index,Final,121.6,5.01
5/31/2015,MAY-2015,A.1) Food and beverages,Final,125.0,5.13
5/31/2015,MAY-2015,A.1.1) Cereals and products,Final,123.6,2.06
5/31/2015,MAY-2015,A.1.7) Vegetables,Final,130.9,4.72
5/31/2015,MAY-2015,A.1.8) Pulses and products,Final,130.5,16.62
4/30/2015,APR-2015,A) General Index,Final,120.7,4.87
4/30/2015,APR-2015,A.1) Food and beverages,Final,124.0,5.44
4/30/2015,APR-2015,A.1.1) Cereals and products,Final,123.5,2.15
4/30/2015,APR-2015,A.1.7) Vegetables,Final,128.6,6.55
4/30/2015,APR-2015,A.1.8) Pulses and products,Final,124.8,12.43
3/31/2015,MAR-2015,A) General Index,Final,120.2,5.25
3/31/2015,MAR-2015,A.1) Food and beverages,Final,123.4,6.29
3/31/2015,MAR-2015,A.1.1) Cereals and products,Final,123.5,2.32
3/31/2015,MAR-2015,A.1.7) Vegetables,Final,129.2,11.09
3/31/2015,MAR-2015,A.1.8) Pulses and products,Final,122.4,11.48
2/28/2015,FEB-2015,A) General Index,Final,119.7,5.37
2/28/2015,FEB-2015,A.1) Food and beverages,Final,123.1,6.76
2/28/2015,FEB-2015,A.1.1) Cereals and products,Final,123.7,2.91
2/28/2015,FEB-2015,A.1.7) Vegetables,Final,129.4,13.01
2/28/2015,FEB-2015,A.1.8) Pulses and products,Final,120.9,10.61
1/31/2015,JAN-2015,A) General Index,Final,119.5,5.19
1/31/2015,JAN-2015,A.1) Food and beverages,Final,123.1,6.30
1/31/2015,JAN-2015,A.1.1) Cereals and products,Final,123.4,3.18
1/31/2015,JAN-2015,A.1.7) Vegetables,Final,133.0,8.84
1/31/2015,JAN-2015,A.1.8) Pulses and products,Final,119.1,9.37
12/31/2014,DEC-2014,A) General Index,Final,119.4,4.28
12/31/2014,DEC-2014,A.1) Food and beverages,Final,123.6,4.39
12/31/2014,DEC-2014,A.1.1) Cereals and products,Final,122.9,3.19
12/31/2014,DEC-2014,A.1.7) Vegetables,Final,140.5,-3.37
12/31/2014,DEC-2014,A.1.8) Pulses and products,Final,117.6,8.19
11/30/2014,NOV-2014,A) General Index,Final,120.1,3.27
11/30/2014,NOV-2014,A.1) Food and beverages,Final,125.1,2.04
11/30/2014,NOV-2014,A.1.1) Cereals and products,Final,123.3,4.40
11/30/2014,NOV-2014,A.1.7) Vegetables,Final,152.4,-16.77
11/30/2014,NOV-2014,A.1.8) Pulses and products,Final,117.2,8.32
10/31/2014,OCT-2014,A) General Index,Final,120.1,4.62
10/31/2014,OCT-2014,A.1) Food and beverages,Final,125.4,4.33
10/31/2014,OCT-2014,A.1.1) Cereals and products,Final,123.2,5.21
10/31/2014,OCT-2014,A.1.7) Vegetables,Final,156.8,-8.41
10/31/2014,OCT-2014,A.1.8) Pulses and products,Final,116.1,8.20
9/30/2014,SEP-2014,A) General Index,Final,120.1,5.63
9/30/2014,SEP-2014,A.1) Food and beverages,Final,125.8,6.34
9/30/2014,SEP-2014,A.1.1) Cereals and products,Final,122.9,5.58
9/30/2014,SEP-2014,A.1.7) Vegetables,Final,162.1,0.75
